SMILES,NLL
Cc1ccc2c3S(=O)(=CC=Cc4ccccc4)[N-]4CCN5=Cc6c([O-]->[Pd+2]<-5<-4<-Nc3cc(C)c2c1)ccc1ccccc61,40.08
CC1C(=O)[O-]->[Cd+2]234(<-[N-]=C=[Se])<-C=1C=N->2CCN->3=Cc1ccccn->41,35.01
CN(C)c1ccc(-c2cc(-c3ccncc3)n3->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n4ccccc4-c3c2)cc1,22.44
CC1=O->[Ni+2]23(<-O=Cc4cc(Cl)ccc4[O-]->2)(<-n2ccccc2CN->32CCN(c3ccc(Cl)cc3)CC2)<-n2c(Cl)cc(Cl)cc21,36.52
[Cl-]->[Pd+2]12<-[C]3N(c4ccccn->14)C=CN3c1ccccn->21,21.79
CS[C](=Cc1ccc(C)cc1)->[RuH3+](<-P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1)<-P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,32.5
CC(=O)NC1=NN2=C(C)c3cccc(C)n3->[Ru+2]<-234(<-c2cccc5c2CN->3(Cc2cc(C)cc(C)c2C)CCN->4C5)(<-n2[nH]c(C)cc2C)<-[N-]1c1c(C)cc(C)cc1C,55.72
CCC=C1C2=C->[Ni+2]<-1<-234<-N(C)(C)CCN->31CCCN->4(C)CC1,30.47
CC1(C)CC(C(C)(C)C)OC2(C1)[C]1->[Pt+6](<-[Cl-])(<-[Cl-])(<-n3c(C12[Si](C)(C)C)ccc1ccccc13)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,50.76
CCN1c2ccccc2N(Cc2ccccc2)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-[C]1N(Cc2ccccc2)C=CN1Cc1ccccc1,19.61
CC(C)N1c2ccccc2N(c2ccccc2)[C]1->[Rh+]123(<-[Cl-])<-C4=C->1CCC->2=C->3CC4,17.45
Cc12->[Ir+3]3456(<-[Cl-])(<-n7ccccc7-c7c(-c8ccccc8)[cH-]cn->37)<-c1(C)c->4(C)[c-]->5(C)c->62C,23.93
COc1ccc(C=N2N=C([O-]->[Zn+2]<-23(<-[O-]C(c2ccc(OC)cc2)n2[nH]c4ccccc4c2=N->3c2ccc(OC)cc2)<-n2ccccc2)c2ccc(OC)cc2)cc1,40.42
CCOC(=O)C1C(OC)=O->[Pt+2](<-[Cl-])(<-N=C(ON2CCCCC2)C2CCCCC2)(<-O=C(CC)C=1c1ccccc1)<-O=C1C(CC)(CC)C(=O)NC(=O)C1(CC)CC,52.78
[Cl-]->[Cu+3]12<-n3ccccc3CN->1(Cc1ccccn->21)C1CCCCCC1,22.44
Cc1cc(C)c(CN2c3ccccc3N(C)N3C[Si-](c4ccccc4)(c4ccccc4)->[Pt+2](<-[Cl-])(<-[C]23)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c(C)c1,34.5
[Cl-]->[Pd+2]1(<-[I-])<-[CH-]2N(Cc3ccccc3)P->1(c1ccccc1)(c1ccccc1)=P2(c1ccccc1)c1ccccc1,28.85
CCN(CC)C1N=[S-]->[Ni+2]2(<-S=1)<-S=C([S-]->2)N1CCN(CC=C(C)C)CC1,24.87
[O+]#[C-]->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,15.79
[I-]->[Ni+2]12<-[C](CCS->1c1ccccc1)CCP->2(c1ccccc1)c1ccccc1,24.39
CCC(NC(=O)CCCCCC(=O)OC)=N->[Zn+2](<-N)(<-[Cl-])<-[Cl-],26.99
CC#N->[Ru+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[NH2+]C12CC3CC(CC(C3)C1)C2)<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,35.84
[Br-]->[Pd+2](<-[Br-])(<-N#Cc1ccccc1)<-NCc1ccccc1,18.3
CC(C)CN1C=CN2CCCN=C1[N-]1->[Ir+]345(<-C=C->3CCC->4c3cccs->53)<-[C]2C=C1,47.93
[O+]#[C-]->[Fe+4]1234(<-[C-]#[O+])(<-[C-]5=CC[CH-][CH-]->1C->2=C->3[CH-]->45)<-P(c1ccccc1)[Si](c1ccccc1)c1ccccc1,42.45
CCOC(=O)C#[C-]->[Fe+2](<-[C-]#[N+]c1c(C)cccc1C)(<-[CH]C(C)(C)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,29.79
CC1(C)COC(c2ccccn2)=N1->[Ni+2]123(<-NCCN->1(C)C)(<-[O-]c1ccccc1-c1oc4ccccc4n->21)<-n1cccc2ccc4cccn->3c4c21,43.59
CC12N3=C(Cl)C(Cl)=C(Br)C<-3=S->[RhH2+]1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)C(Cl)=C(Cl)C2,29.61
CC(C)(C)CP(CC(C)(C)C)(CC(C)(C)C)->[Pt+2]1(<-[Cl-])<-N(=CC=N->1C(C)(C)C)C(C)(C)C,26.82
CC(=O)[O-]->[Mn+3]123(<-O)<-[O-]c4c(CN->1(Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1[O-]->2)Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1[O-]->3)cc(C(C)(C)C)cc4C(C)(C)C,20.14
[CH3-]->[Pt+2](<-N#CN([O-])[O-])(<-N#CN1CCCCC1)<-N#CN1CCCC1,27.96
CCCCN1C=CN2c3ccccn3->[Rh+](<-[C-]#[O+])(<-O=C(N)c3ccccc3)(<-[C]12)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,37.88
